2026-01-26 21:10:55.360369: sh.600000 backtest done. Trades: 100, Buys: 100, Sells: 0
2026-01-26 21:11:15.308796: sh.600000 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:11:57.198603: sh.600000 backtest done. Trades: 100, Buys: 100, Sells: 0
2026-01-26 21:14:18.866905: sh.600000 backtest done. Trades: 40, Buys: 33, Sells: 7
2026-01-26 21:14:55.686683: sh.600000 backtest done. Trades: 2160, Buys: 2160, Sells: 0
2026-01-26 21:15:27.864563: sh.600000 backtest done. Trades: 40, Buys: 33, Sells: 7
2026-01-26 21:16:18.348055: sh.600000 backtest done. Trades: 2160, Buys: 2160, Sells: 0
2026-01-26 21:16:54.442418: SH.512890 backtest done. Trades: 43, Buys: 43, Sells: 0
2026-01-26 21:17:15.226994: SH.515180 backtest done. Trades: 61, Buys: 61, Sells: 0
2026-01-26 21:18:09.905774: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:21:07.616465: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:21:14.908657: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:21:22.931739: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:21:36.633837: SH.159201 backtest done. Trades: 6, Buys: 4, Sells: 2
2026-01-26 21:21:38.982590: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:22:28.304667: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:27:07.868883: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:32:00.709512: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:33:24.311034: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:34:15.901225: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:34:41.234935: SH.512890 backtest done. Trades: 0, Buys: 0, Sells: 0
2026-01-26 21:34:58.475447: SH.512890 backtest done. Trades: 43, Buys: 43, Sells: 0
2026-01-26 21:36:04.291880: SH.159201 backtest done. Trades: 4, Buys: 4, Sells: 0
2026-01-26 21:37:15.169221: SH.159201 backtest done. Trades: 7, Buys: 7, Sells: 0
2026-01-26 21:37:43.918698: SH.512890 backtest done. Trades: 120, Buys: 120, Sells: 0
2026-01-26 21:38:41.013417: SH.512890 backtest done. Trades: 20, Buys: 20, Sells: 0
2026-01-26 21:47:44.849628: sh.600000 backtest done. Trades: 16, Buys: 16, Sells: 0
2026-01-26 21:47:52.852599: sh.600000 backtest done. Trades: 16, Buys: 16, Sells: 0
2026-01-27 08:06:11.448629: SH.512890 backtest done. Trades: 120, Buys: 120, Sells: 0
2026-01-27 08:06:49.078066: SH.159201 backtest done. Trades: 7, Buys: 7, Sells: 0
2026-01-27 08:10:47.554770: SH.515180 backtest done. Trades: 152, Buys: 152, Sells: 0
2026-01-27 21:53:22.585165: SH.159201 backtest done. Trades: 7, Buys: 7, Sells: 0
2026-01-29 23:20:35.736830: sh.600000 backtest done. Trades: 85, Buys: 70, Sells: 15
2026-01-29 23:28:53.886526: sh.600000 backtest done. Trades: 85, Buys: 70, Sells: 15
2026-01-29 23:29:06.069301: sh.600000 backtest done. Trades: 1509, Buys: 1509, Sells: 0
2026-01-30 13:37:21.740247: sh.600000 backtest done. Trades: 2173, Buys: 2173, Sells: 0
2026-01-30 13:37:57.271321: sh.600000 backtest done. Trades: 4746, Buys: 4746, Sells: 0
2026-01-30 13:38:03.537026: sh.600000 backtest done. Trades: 1509, Buys: 1509, Sells: 0
2026-01-30 13:38:57.379146: SZ.002468 backtest done. Trades: 648, Buys: 648, Sells: 0
2026-01-30 13:46:08.334511: SZ.002468 backtest done. Trades: 648, Buys: 648, Sells: 0
2026-01-30 14:24:59.444421: SH.600887 backtest done. Trades: 458, Buys: 458, Sells: 0
2026-01-30 15:55:47.134791: SZ.002468 backtest done. Trades: 0, Buys: 0, Sells: 0
2026-01-31 12:17:13.337502: SH.600887 backtest done. Trades: 25, Buys: 25, Sells: 0
2026-01-31 12:18:31.369025: SZ.002468 backtest done. Trades: 70, Buys: 70, Sells: 0
2026-01-31 12:19:27.411191: SH.600036 backtest done. Trades: 30, Buys: 30, Sells: 0
2026-01-31 12:19:40.279473: SH.600036 backtest done. Trades: 455, Buys: 455, Sells: 0
